tmdb_id,title,original_title,popularity,vote_average,vote_count,release_date,genre_ids,overview,poster_path,media_type,fetched_at,youtube_key,trailer_name,trailer_type,trailer_url
1375646,Colony,군체,299.3411,8.149,471,2026-05-21,"[28, 27, 878]","Professor Se-jeong is thrust into a bloody nightmare when a rapidly mutating virus is released during a biotech conference causing authorities to seal the facility. Trapped inside with no escape, Se-jeong along with a small group of survivors must fight to stay alive while the infected undergo horrific transformations.",/tN799oUR0f1gUKDYdMNrDaY7I51.jpg,movie,2026-08-13T07:26:25.315830,LW6dpj1uCK8,International Trailer,Trailer,https://www.youtube.com/watch?v=LW6dpj1uCK8
1375441,Primetime,Primetime,12.3939,0.0,0,2026-09-11,"[80, 18, 53]","In 2006, To Catch a Predator host Chris Hansen sets out to make television history.",/lmrulvLbmaejTix1YaMxo1oGhH1.jpg,movie,2026-08-13T07:26:25.315833,5fHXyqQOKL8,Official Trailer,Trailer,https://www.youtube.com/watch?v=5fHXyqQOKL8
1288445,Mutiny,Mutiny,16.824,0.0,0,2026-08-19,"[28, 53]","After witnessing his billionaire boss' murder and being framed for the crime, Cole Reed boards a cargo ship on a one-man crusade to avenge his boss' death only to discover an international conspiracy.",/lsYSWqj6i2iyUDJoLA2cazFJYlC.jpg,movie,2026-08-13T07:26:25.315837,2Iqvbe98Gb4,Official UK Trailer,Trailer,https://www.youtube.com/watch?v=2Iqvbe98Gb4
1122573,In the Grey,In the Grey,41.794,7.552,696,2026-05-13,"[28, 53]","A covert team of elite operatives are living in the shadows. When a ruthless despot steals a billion-dollar fortune, they're sent to take it back—an impossible heist that erupts into a deadly game of strategy, deception and survival.",/dQgIcW6Th08kMRf2HBoYWoFE6OD.jpg,movie,2026-08-13T07:26:25.315840,nufP15iN4GE,Official Trailer,Trailer,https://www.youtube.com/watch?v=nufP15iN4GE
1281195,Truly Naked,Truly Naked,12.701,6.7,6,2026-04-15,"[18, 10749]","An introverted teen, who has only ever experienced sex through the lens while working for his father’s pornography business, must step out from behind the camera when a feisty classmate challenges him to embrace a real connection.",/y23B9EnC0LDw8zMKlpXJauyLH7k.jpg,movie,2026-08-13T07:26:25.315843,GxxEPboV94c,TRULY NAKED international trailer,Trailer,https://www.youtube.com/watch?v=GxxEPboV94c
1381027,Good Boy,Good Boy,27.1551,7.144,208,2026-03-06,"[53, 18, 9648]","Tommy, a volatile 19-year-old, revels in drugs, parties and violence. After getting separated from his friends on a drunken bender, he is abducted by a shadowy figure. He wakes to find himself imprisoned in the basement of a remote Yorkshire house, inhabited by a very strange family. But what unfolds is not what he could possibly expect.",/eWb841fMkSNly5gfL9J1N0xzVYI.jpg,movie,2026-08-13T07:26:25.638086,qWkPjI-Brkc,Official Trailer,Trailer,https://www.youtube.com/watch?v=qWkPjI-Brkc
1375441,Primetime,Primetime,12.3939,0.0,0,2026-09-11,"[80, 18, 53]","In 2006, To Catch a Predator host Chris Hansen sets out to make television history.",/lmrulvLbmaejTix1YaMxo1oGhH1.jpg,movie,2026-08-13T07:26:25.638099,5fHXyqQOKL8,Official Trailer,Trailer,https://www.youtube.com/watch?v=5fHXyqQOKL8
1363387,Saccharine,Saccharine,24.1074,6.888,112,2026-05-22,[27],"After succumbing to an obscure weight-loss craze involving the eating of human ashes, lovelorn medical student Hana finds herself haunted by the ghost of the person she's eating.",/bCHPB5WZy4T0Rerh1GTuQLzU0rF.jpg,movie,2026-08-13T07:26:25.638103,uIY13LD3RUY,Official Trailer,Trailer,https://www.youtube.com/watch?v=uIY13LD3RUY
1384216,The Dog Stars,The Dog Stars,14.2849,0.0,0,2026-08-26,"[12, 878, 53]","After the world's population has been ravaged by a pandemic, a man lives a lonesome existence in a Colorado airplane hangar with his dog and a dour gunman he has befriended. When a mysterious transmission comes through on the radio while he’s flying his old Cessna, it sparks a hunt for the provenance of the sound.",/A7i16oDi03qrKep5pBfuTWNUTb.jpg,movie,2026-08-13T07:26:25.638107,-xSxaE1ClEE,Official Trailer,Trailer,https://www.youtube.com/watch?v=-xSxaE1ClEE
1479832,DC,டிசி,43.5587,8.0,9,2026-08-07,"[10749, 28, 18]",Rebel Devadas joins forces with Chandra in a dangerous world where passion and peril collide. Their turbulent alliance demands bloodshed and tests loyalties as survival becomes the ultimate stake in their fight.,/k9AwqfQ9wYtaGew8oZh6GBouvO2.jpg,movie,2026-08-13T07:26:25.638112,,,,
