tmdb_id,title,original_title,popularity,vote_average,vote_count,release_date,genre_ids,overview,poster_path,media_type,fetched_at
1368337,The Odyssey,The Odyssey,37.6332,0.0,0,2026-07-15,"[12, 28, 14]","Odysseus, the legendary King of Ithaca, embarks on a long and perilous journey home following the Trojan War. Throughout his voyage, he is forced to confront the whims of gods, mythological monsters, and trials that stretch both his cunning and his humanity to the breaking point.",/2jzjE3OtXekGtn3vdRGXpyWrHe7.jpg,movie,2026-05-19T22:48:42.269925
1275779,Disclosure Day,Disclosure Day,16.0666,0.0,0,2026-06-10,"[9648, 878, 53]","If you found out we weren’t alone, if someone showed you, proved it to you, would that frighten you?",/3o5YPjDGDTcTDL5ftDA9NwN9dLd.jpg,movie,2026-05-19T22:48:42.269931
1368166,The Housemaid,The Housemaid,64.7895,7.25,2130,2025-12-18,"[9648, 53]","Trying to escape her past, Millie Calloway accepts a job as a live-in housemaid for the wealthy Nina and Andrew Winchester. But what begins as a dream job quickly unravels into something far more dangerous—a sexy, seductive game of secrets, scandal, and power.",/cWsBscZzwu5brg9YjNkGewRUvJX.jpg,movie,2026-05-19T22:48:42.269936
1159559,Scream 7,Scream 7,51.7854,6.127,907,2026-02-25,"[27, 9648, 80]","When a new Ghostface killer emerges in the quiet town where Sidney Prescott has built a new life, her darkest fears are realized as her daughter becomes the next target. Determined to protect her family, Sidney must face the horrors of her past to put an end to the bloodshed once and for all.",/jjyuk0edLiW8vOSnlfwWCCLpbh5.jpg,movie,2026-05-19T22:48:42.269942
1159559,Scream 7,Scream 7,51.7854,6.127,907,2026-02-25,"[27, 9648, 80]","When a new Ghostface killer emerges in the quiet town where Sidney Prescott has built a new life, her darkest fears are realized as her daughter becomes the next target. Determined to protect her family, Sidney must face the horrors of her past to put an end to the bloodshed once and for all.",/jjyuk0edLiW8vOSnlfwWCCLpbh5.jpg,movie,2026-05-19T22:48:43.104027
1427838,The Holy Grail,Extrawurst,2.1682,6.8,24,2026-01-15,"[35, 18]","At a tennis club in rural Germany, preparations for the summer party are led by Heribert. When a separate grill is suggested for Erol, the club's only Muslim member, tensions flare. What begins as a simple discussion quickly turns into a debate about societal and personal conflicts, threatening to tear the club apart.",/eLmcdb6MsKUVi88esD41cCS2KY7.jpg,movie,2026-05-19T22:48:43.104061
1469342,Her Private Hell,Her Private Hell,5.4015,0.0,0,2026-07-24,"[878, 27, 53]","When a mysterious mist engulfs a futuristic metropolis, unleashing a deadly and elusive entity, a troubled young woman searches for her father. Her quest collides with an American GI on a harrowing odyssey to rescue his daughter from Hell.",/kncKYCe4stYQ1YPAmIcvtjpF1Bc.jpg,movie,2026-05-19T22:48:43.104069
969681,Spider-Man: Brand New Day,Spider-Man: Brand New Day,25.8737,0.0,0,2026-07-29,"[878, 28, 12]","Four years have passed since the events of No Way Home, and Peter is now an adult living entirely alone, having voluntarily erased himself from the lives and memories of those he loves. Crime-fighting in a New York that no longer knows his name, he's devoted himself entirely to protecting his city — a full-time Spider-Man — but as the demands on him intensify, the pressure sparks a surprising physical evolution that threatens his existence, even as a strange new pattern of crimes gives rise to one of the most powerful threats he has ever faced.",/yyB2VJEW3an2xCdcYCPQhn9QERR.jpg,movie,2026-05-19T22:48:43.104075
1227877,I Love Boosters,I Love Boosters,4.568,0.0,0,2026-05-22,"[35, 878, 80]",A fearless crew of inventive young women turn shoplifting into a radical act of defiance.,/4pNKIUFy7tkZiBx0rnSmG9ysRy.jpg,movie,2026-05-19T22:48:43.104081
1317288,Marty Supreme,Marty Supreme,23.6613,7.389,1728,2025-12-19,"[18, 53]","Marty Mauser, a young man with a dream no one respects, goes to hell and back in pursuit of greatness.",/lYWEXbQgRTR4ZQleSXAgRbxAjvq.jpg,movie,2026-05-19T22:48:43.104087
