tmdb_id,name,original_name,popularity,vote_average,vote_count,first_air_date,origin_country,genre_ids,overview,poster_path,fetched_at
261471,Stand-up Comedy,脱口秀和Ta的朋友们,123.2295,5.8,4,2024-08-20,"[""CN""]","[10767, 35]","A professional comedy talk show competition program, the program invites outstanding stand-up artists at home and abroad to share happiness, convey a positive attitude to life and comedy spirit.",/vFJYt5Pi5Pjc3CKU58oonfXRCio.jpg,2026-08-11T14:30:27.000600
319191,NSFW Show,NSFW Show,141.6667,0.0,0,2009-11-24,"[""US""]","[35, 10767]","Magician and scam artist Brian Brushwood teams with Justin Robert Young for a weekly irreverent fun fest featuring unusual guests, bizarre games, and strange and wonderful tales.",/rHmiOepMQlicX2DqQ7YJK1hltrz.jpg,2026-08-11T14:30:27.000606
1433,American Dad!,American Dad!,120.3683,7.021,2420,2005-02-06,"[""US""]","[16, 35]","The series focuses on an eccentric motley crew that is the Smith family and their three housemates: Father, husband, and breadwinner Stan Smith; his better half housewife, Francine Smith; their college-aged daughter, Hayley Smith; and their high-school-aged son, Steve Smith. Outside of the Smith family, there are three additional main characters, including Hayley's boyfriend turned husband, Jeff Fischer; the family's man-in-a-goldfish-body pet, Klaus; and most notably the family's zany alien, Roger, who is ""full of masquerades, brazenness, and shocking antics.""",/eb9sH2am9IUSQ8GhXTNAVoujk8W.jpg,2026-08-11T14:30:27.000612
1421,Modern Family,Modern Family,116.2726,7.91,3462,2009-09-23,"[""US""]",[35],"The Pritchett-Dunphy-Tucker clan is a wonderfully large and blended family. They give us an honest and often hilarious look into the sometimes warm, sometimes twisted, embrace of the modern family.",/k5Qg5rgPoKdh3yTJJrLtyoyYGwC.jpg,2026-08-11T14:30:27.000618
57243,Doctor Who,Doctor Who,119.9152,7.616,3419,2005-03-26,"[""GB""]","[10759, 18, 10765]","The Doctor is a Time Lord: a 900 year old alien with 2 hearts, part of a gifted civilization who mastered time travel. The Doctor saves planets for a living—more of a hobby actually, and the Doctor's very, very good at it.",/m6G92osOtSeXwjSfL21jZCUOvxe.jpg,2026-08-11T14:30:27.000625
46952,The Blacklist,The Blacklist,109.0265,7.633,3677,2013-09-23,"[""US""]","[18, 80, 9648]","Raymond ""Red"" Reddington, one of the FBI's most wanted fugitives, surrenders in person at FBI Headquarters in Washington, D.C. He claims that he and the FBI have the same interests: bringing down dangerous criminals and terrorists. In the last two decades, he's made a list of criminals and terrorists that matter the most but the FBI cannot find because it does not know they exist. Reddington calls this ""The Blacklist"". Reddington will co-operate, but insists that he will speak only to Elizabeth Keen, a rookie FBI profiler.",/4HTfd1PhgFUenJxVuBDNdLmdr0c.jpg,2026-08-11T14:30:27.000631
73586,Yellowstone,Yellowstone,110.6534,8.268,3277,2018-06-20,"[""US""]","[37, 18]","Follow the violent world of the Dutton family, who controls the largest contiguous ranch in the United States. Led by their patriarch John Dutton, the family defends their property against constant attack by land developers, an Indian reservation, and America’s first National Park.",/vOYfRZ0NpUK5hG2CB2dJFnYJlGe.jpg,2026-08-11T14:30:27.000637
120013,RE-MAIN,RE-MAIN,122.0048,6.8,32,2021-07-04,"[""JP""]","[16, 35, 18]","Minato is a boy who stopped playing water polo due to a certain incident in the winter of his third middle school year. He picks the sport back up again with a new team when he starts in high school, but the fledgling team runs into many problems.",/nnsLtt5RndrFzNBgVRQjRdXLeeq.jpg,2026-08-11T14:30:27.000643
44217,Vikings,Vikings,111.5527,8.099,7774,2013-03-03,"[""CA""]","[10759, 18, 10768]","The adventures of Ragnar Lothbrok, the greatest hero of his age. The series tells the sagas of Ragnar's band of Viking brothers and his family, as he rises to become King of the Viking tribes. As well as being a fearless warrior, Ragnar embodies the Norse traditions of devotion to the gods. Legend has it that he was a direct descendant of Odin, the god of war and warriors.",/bQLrHIRNEkE3PdIWQrZHynQZazu.jpg,2026-08-11T14:30:27.000649
204269,Caressing My Hibernating Bear,森のくまさん、冬眠中。,112.4238,5.9,7,2022-07-04,"[""JP""]",[16],"Nowa, a bear living in the forest, decides to take an abandoned puppy under his wing. He names it Airi and takes care of it with great care. Time passes and Nowa soon has to leave him temporarily alone in order to hibernate. Waking up several months later, he discovers that Airi has grown well into an attractive young man.",/jSRmnyrqY1wmECpCCk7jv7AGFn6.jpg,2026-08-11T14:30:27.000654
44217,Vikings,Vikings,111.5527,8.099,7775,2013-03-03,"[""CA""]","[10759, 18, 10768]","The adventures of Ragnar Lothbrok, the greatest hero of his age. The series tells the sagas of Ragnar's band of Viking brothers and his family, as he rises to become King of the Viking tribes. As well as being a fearless warrior, Ragnar embodies the Norse traditions of devotion to the gods. Legend has it that he was a direct descendant of Odin, the god of war and warriors.",/bQLrHIRNEkE3PdIWQrZHynQZazu.jpg,2026-08-11T14:30:27.384950
204269,Caressing My Hibernating Bear,森のくまさん、冬眠中。,112.4238,5.9,7,2022-07-04,"[""JP""]",[16],"Nowa, a bear living in the forest, decides to take an abandoned puppy under his wing. He names it Airi and takes care of it with great care. Time passes and Nowa soon has to leave him temporarily alone in order to hibernate. Waking up several months later, he discovers that Airi has grown well into an attractive young man.",/jSRmnyrqY1wmECpCCk7jv7AGFn6.jpg,2026-08-11T14:30:27.384967
94722,Tagesschau,Tagesschau,144.0723,6.768,256,1952-12-26,"[""DE""]",[10763],"German daily news program, the oldest still existing program on German television.",/7dFZJ2ZJJdcmkp05B9NWlqTJ5tq.jpg,2026-08-11T14:30:27.384975
37680,Suits,Suits,111.7431,8.22,5844,2011-06-23,"[""US""]",[18],"While running from a drug deal gone bad, Mike Ross, a brilliant young college-dropout, slips into a job interview with one of New York City's best legal closers, Harvey Specter. Tired of cookie-cutter law school grads, Harvey takes a gamble by hiring Mike on the spot after he recognizes his raw talent and photographic memory.",/vQiryp6LioFxQThywxbC6TuoDjy.jpg,2026-08-11T14:30:27.384982
32798,Hawaii Five-0,Hawaii Five-0,114.683,7.727,1888,2010-09-20,"[""US""]","[80, 18, 10759]","Steve McGarrett returns home to Oahu, in order to find his father's killer. The governor offers him the chance to run his own task force (Five-0). Steve's team is joined by Chin Ho Kelly, Danny ""Danno"" Williams, and Kono Kalakaua.",/sIdCKlmM2nU4akIvFQaAIiU8YES.jpg,2026-08-11T14:30:27.384990
1398,The Sopranos,The Sopranos,102.5867,8.671,3604,1999-01-10,"[""US""]","[80, 18]","The story of New Jersey-based Italian-American mobster Tony Soprano and the difficulties he faces as he tries to balance the conflicting requirements of his home life and the criminal organization he heads. Those difficulties are often highlighted through his ongoing professional relationship with psychiatrist Jennifer Melfi. The show features Tony's family members and Mafia associates in prominent roles and story arcs, most notably his wife Carmela and his cousin and protégé Christopher Moltisanti.",/rTc7ZXdroqjkKivFPvCPX0Ru7uw.jpg,2026-08-11T14:30:27.384997
31132,Regular Show,Regular Show,114.9392,8.635,2291,2010-09-06,"[""US""]","[16, 35, 10759, 10765]",The surreal misadventures of two best friends - a blue jay and a raccoon - as they seek to liven up their mundane jobs as groundskeepers at the local park.,/mS5SLxMYcKfUxA0utBSR5MOAWWr.jpg,2026-08-11T14:30:27.385005
223911,Renegade Immortal,仙逆,91.8779,8.2,40,2023-09-25,"[""CN""]","[16, 18, 10759]","It tells the story of Wang Lin, an ordinary young man in the countryside, who is moved by his heart and cultivates against immortality. His pursuit is not only for longevity, but also for getting rid of the ants behind it. He firmly believed in human beings and entered the path of cultivation with mediocre qualifications. After experiencing ups and downs, with his wise mind, he gradually reached the pinnacle and became famous in the cultivation world with his own strength.",/mCt5qgkOYEvuHSiSwNByMv6LMoB.jpg,2026-08-11T14:30:27.385012
2661,Kamen Rider,仮面ライダー,119.6785,6.413,104,1971-04-03,"[""JP""]","[10759, 10765, 18]","Takeshi Hongo is a promising young man with a passion for motorcycle racing. However, his dreams are suddenly ruined when he gets kidnapped by Shocker, the evil secret organization planning to dominate the world. After being remodeled into a cyborg, Takeshi escapes and swears to protect the world from the inhuman monsters.",/2DIBDFHiKQawz4WPsYekl9DHwyA.jpg,2026-08-11T14:30:27.385019
269,One Tree Hill,One Tree Hill,105.48,7.8,612,2003-09-23,"[""US""]",[18],"In Tree Hill, North Carolina two half brothers share a last name and nothing else. Brooding, blue-collar Lucas is a talented street-side basketball player, but his skills are appreciated only by his friends at the river court. Popular, affluent Nathan basks in the hero-worship of the town, as the star of his high school team. And both boys are the son of former college ball player Dan Scott whose long ago choice to abandon Lucas and his mother Karen, will haunt him long into his life with wife Deb and their son Nathan.",/sOrelBaAhp7DZbPTivDwKEyPslC.jpg,2026-08-11T14:30:27.385025
2316,The Office,The Office,111.7524,8.586,5369,2005-03-24,"[""US""]",[35],"The everyday lives of office employees in the Scranton, Pennsylvania branch of the fictional Dunder Mifflin Paper Company.",/7DJKHzAi83BmQrWLrYYOqcoKfhR.jpg,2026-08-11T14:30:27.385031
615,Futurama,Futurama,107.0873,8.364,3838,1999-03-28,"[""US""]","[16, 35, 10765]","The adventures of a late-20th-century New York City pizza delivery boy, Philip J. Fry, who, after being unwittingly cryogenically frozen for one thousand years, finds employment at Planet Express, an interplanetary delivery company in the retro-futuristic 31st century.",/eM8bbTn8C8vUwwS6upzzm7gX31u.jpg,2026-08-11T14:30:27.385037
23393,BBC Proms,BBC Proms,98.2238,7.7,3,1947-09-13,"[""GB""]",[99],"The World's Greatest Classical Music Festival.  The BBC Proms is a classical music festival held every summer at the Royal Albert Hall in London, and in recent years has explored an innovative series of Proms around the UK with concerts in all four nations. Its aim: to bring the best in classical music to the widest possible audience, which remains true to founder-conductor Henry Wood’s original vision in 1895.  Whether you are a classical connoisseur or think classical music isn’t for you, there is something for everyone in the eight-week stretch of concerts.",/605DvsE6xjYaJ3fYDRhnj0fmb2D.jpg,2026-08-11T14:30:27.385043
113360,Jimihen!! Jimiko o Kae Chau Jun Isei Kouyuu,じみへんっ!!～地味子を変えちゃう純異性交遊～,107.0767,6.6,27,2021-01-03,"[""JP""]","[16, 35]","The story follows Rena Yukuhasahi, a reserved office lady and Ryouhei Hachiya, a businessman and fellow colleague. Yukuhasahi appears to be the most reserved girl in the company, but becomes a super beautiful woman when she dresses up. Flustered in the presence of her transformed self, Hachiya insists on taking her out, only to find themselves in front of a love hotel.",/to5FshluwPdO9d3Ucs7fagJL7OU.jpg,2026-08-11T14:30:27.385049
275484,Die Ratgeber,Die Ratgeber,101.7879,10.0,1,2019-04-01,"[""DE""]",[99],,,2026-08-11T14:30:27.385055
