tmdb_id,title,vote_average,vote_count,popularity,release_date,genre_ids,overview,fetched_at
378064,A Silent Voice: The Movie,8.382,4474,14.4993,2016-09-17,"[16, 18, 10749]","Shouya Ishida starts bullying the new girl in class, Shouko Nishimiya, because she is deaf. But as the teasing continues, the rest of the class starts to turn on Shouya for his lack of compassion. When they leave elementary school, Shouko and Shouya do not speak to each other again... until an older, wiser Shouya, tormented by his past behaviour, decides he must see Shouko once more. He wants to atone for his sins, but is it already too late...?",2026-05-19T22:48:51.634362
807,Se7en,8.381,23037,31.6399,1995-09-22,"[80, 9648, 53]","Two homicide detectives are on a desperate hunt for a serial killer whose crimes are based on the ""seven deadly sins"" in this dark and haunting film that takes viewers from the tortured remains of one victim to the next. The seasoned Det. Somerset researches each sin in an effort to get inside the killer's mind, while his novice partner, Mills, scoffs at his efforts to unravel the case.",2026-05-19T22:48:52.477310
311,Once Upon a Time in America,8.382,6020,14.2177,1984-05-23,"[18, 80]","A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan over thirty years later, where he once again must confront the ghosts and regrets of his old life.",2026-05-19T22:48:52.477332
696374,Gabriel's Inferno,8.381,2460,3.8429,2020-05-29,"[10749, 18]","An intriguing and sinful exploration of seduction, forbidden love, and redemption, Gabriel's Inferno is a captivating and wildly passionate tale of one man's escape from his own personal hell as he tries to earn the impossible--forgiveness and love.",2026-05-19T22:48:52.477339
244786,Whiplash,8.375,16593,22.0121,2014-10-10,"[18, 10402, 53]","Under the direction of a ruthless instructor, a talented young drummer begins to pursue perfection at any cost, even his humanity.",2026-05-19T22:48:52.477345
423,The Pianist,8.375,10117,12.5881,2002-09-17,"[18, 10752]","The true story of pianist Władysław Szpilman's experiences in Warsaw during the Nazi occupation. When the Jews of the city find themselves forced into a ghetto, Szpilman finds work playing in a café; and when his family is deported in 1942, he stays behind, works for a while as a laborer, and eventually goes into hiding in the ruins of the war-torn city.",2026-05-19T22:48:52.477352
27205,Inception,8.372,39209,41.2927,2010-07-15,"[28, 878, 12]","Cobb, a skilled thief who commits corporate espionage by infiltrating the subconscious of his targets is offered a chance to regain his old life as payment for a task considered to be impossible: ""inception"", the implantation of another person's idea into a target's subconscious.",2026-05-19T22:48:52.477358
770156,Lucy Shimmers and the Prince of Peace,8.367,358,6.3426,2020-10-19,"[18, 10751]",Second chances start when a hardened criminal crosses paths with a precocious little girl who is helped by an angel to change hearts during the holiday season.,2026-05-19T22:48:52.477363
12493,High and Low,8.361,1119,8.3707,1963-03-01,"[18, 80, 53]",A Yokohama shoe executive faces a wrenching choice when kidnappers mistakenly seize his chauffeur’s son but demand the ransom anyway.,2026-05-19T22:48:52.477404
1218925,Chainsaw Man - The Movie: Reze Arc,8.354,857,27.4664,2025-09-19,"[16, 28, 10749, 14]","In a brutal war between devils, hunters, and secret enemies, a mysterious girl named Reze has stepped into Denji's world, and he faces his deadliest battle yet, fueled by love in a world where survival knows no rules.",2026-05-19T22:48:52.477414
724089,Gabriel's Inferno: Part II,8.349,1550,3.0412,2020-07-31,"[10749, 18]","Professor Gabriel Emerson finally learns the truth about Julia Mitchell's identity, but his realization comes a moment too late. Julia is done waiting for the well-respected Dante specialist to remember her and wants nothing more to do with him. Can Gabriel win back her heart before she finds love in another's arms?",2026-05-19T22:48:52.477422
274,The Silence of the Lambs,8.345,17939,4.8625,1991-02-14,"[80, 53, 18]","Clarice Starling is a top student at the FBI's training academy.  Jack Crawford wants Clarice to interview Dr. Hannibal Lecter, a brilliant psychiatrist who is also a violent psychopath, serving life behind bars for various acts of murder and cannibalism.  Crawford believes that Lecter may have insight into a case and that Starling, as an attractive young woman, may be just the bait to draw him out.",2026-05-19T22:48:52.477432
761053,Gabriel's Inferno: Part III,8.342,1085,5.3641,2020-11-19,"[10749, 18]",The final part of the film adaption of the erotic romance novel Gabriel's Inferno written by an anonymous Canadian author under the pen name Sylvain Reynard.,2026-05-19T22:48:52.477441
567,Rear Window,8.338,7145,9.6564,1954-08-01,"[53, 9648, 18]",A wheelchair-bound photographer spies on his neighbors from his apartment window and becomes convinced one of them has committed murder.,2026-05-19T22:48:52.477447
569094,Spider-Man: Across the Spider-Verse,8.335,8575,24.7553,2023-05-31,"[16, 28, 12, 878]","After reuniting with Gwen Stacy, Brooklyn’s full-time, friendly neighborhood Spider-Man is catapulted across the Multiverse, where he encounters the Spider Society, a team of Spider-People charged with protecting the Multiverse's very existence. But when the heroes clash on how to handle a new threat, Miles finds himself pitted against the other Spiders and must set out on his own to save those he loves most.",2026-05-19T22:48:52.477453
73,American History X,8.328,12548,11.279,1998-07-01,[18],"Derek Vineyard is paroled after serving 3 years in prison for killing two African-American men. Through his brother, Danny Vineyard's narration, we learn that before going to prison, Derek was a skinhead and the leader of a violent white supremacist gang that committed acts of racial crime throughout L.A. and his actions greatly influenced Danny. Reformed and fresh out of prison, Derek severs contact with the gang and becomes determined to keep Danny from going down the same violent path as he did.",2026-05-19T22:48:52.477459
105,Back to the Future,8.325,21760,20.7879,1985-07-03,"[12, 35, 878]","Eighties teenager Marty McFly is accidentally sent back in time to 1955, inadvertently disrupting his parents' first meeting and attracting his mother's romantic interest. Marty must repair the damage to history by rekindling his parents' romance and - with the help of his eccentric inventor friend Doc Brown - return to 1985.",2026-05-19T22:48:52.477465
1058694,Radical,8.324,501,5.0607,2023-10-19,[18],"In a Mexican border town plagued by neglect, corruption, and violence, a frustrated teacher tries an unorthodox new method to break through his students’ apathy and unlock their curiosity, their potential... and perhaps even their genius.",2026-05-19T22:48:52.477470
128,Princess Mononoke,8.322,8957,16.4974,1997-07-12,"[12, 14, 16]","Ashitaka, a prince of the disappearing Emishi people, is cursed by a demonized boar god and must journey to the west to find a cure. Along the way, he encounters San, a young human woman fighting to protect the forest, and Lady Eboshi, who is trying to destroy it. Ashitaka must find a way to bring balance to this conflict.",2026-05-19T22:48:52.477476
1184918,The Wild Robot,8.3,6053,29.7711,2024-09-12,"[10751, 16, 878, 12]","After a shipwreck, an intelligent robot called Roz is stranded on an uninhabited island. To survive the harsh environment, Roz bonds with the island's animals and cares for an orphaned baby goose.",2026-05-19T22:48:52.477482
3782,Ikiru,8.304,1341,8.2161,1952-10-09,[18],"Kanji Watanabe is a middle-aged man who has worked in the same monotonous bureaucratic position for decades. Learning he has cancer, he starts to look for the meaning of his life.",2026-05-19T22:48:52.477487
620249,The Legend of Hei,8.301,462,7.9848,2019-08-27,"[16, 14, 28]","When cat spirit Luo Xiaohei's home is deforested by humans, he must find a new one. He runs into a group of other spirit creatures who take him under their wing with dreams of reconquering the land they say is rightfully theirs. However, they run into a human known as Wuxian who separates Luo Xiaohei from the other spirits and the two go on a journey, with the cat spirit learning to control his abilities as well as forming his own thoughts on whether or not he should ally with the spirits or the humans.",2026-05-19T22:48:53.326656
10494,Perfect Blue,8.301,3173,11.6849,1998-02-28,"[16, 53]","Rising pop star Mima quits singing to pursue a career as an actress. After she takes up a role on a popular detective show, her handlers and collaborators begin turning up murdered. Harboring feelings of guilt and haunted by visions of her former self, Mima's reality and fantasy meld into a frenzied paranoia.",2026-05-19T22:48:53.326680
207,Dead Poets Society,8.3,12572,16.9234,1989-06-02,[18],"At an elite, old-fashioned boarding school in New England, a passionate English teacher inspires his students to rebel against convention and seize the potential of every day, courting the disdain of the stern headmaster.",2026-05-19T22:48:53.326687
101,Léon: The Professional,8.295,16072,20.1242,1994-09-14,"[80, 18, 28]","Léon, the top hit man in New York, has earned a rep as an effective ""cleaner"". But when his next-door neighbors are wiped out by a loose-cannon DEA agent, he becomes the unwilling custodian of 12-year-old Mathilda. Before long, Mathilda's thoughts turn to revenge, and she considers following in Léon's footsteps.",2026-05-19T22:48:53.326694
533514,Violet Evergarden: The Movie,8.292,507,8.398,2020-09-18,"[16, 18, 14, 10749]","As the world moves on from the war and technological advances bring changes to her life, Violet still hopes to see her lost commanding officer again.",2026-05-19T22:48:53.326700
42269,We All Loved Each Other So Much,8.3,646,4.3101,1974-12-21,"[18, 35]","Three partisans bound by a strong friendship return home after the war, but the clash with everyday reality puts a strain on their bond.",2026-05-19T22:48:53.326706
644479,Dedicated to my ex,8.3,513,3.8958,2019-11-01,"[18, 35]","The film tells the story of Ariel, a 21-year-old who decides to form a rock band to compete for a prize of ten thousand dollars in a musical band contest, this as a last option when trying to get money to save their relationship and reunite with his ex-girlfriend, which breaks due to the trip she must make to Finland for an internship. Ariel with her friend Ortega, decides to make a casting to find the other members of the band, although they do not know nothing about music, thus forming a band with members that have diverse and opposite personalities.",2026-05-19T22:48:53.326711
1585,It's a Wonderful Life,8.28,4892,9.6306,1946-12-20,"[18, 10751, 14]","George Bailey has spent his entire life giving to the people of Bedford Falls.  All that prevents rich skinflint Mr. Potter from taking over the entire town is George's modest building and loan company.  But on Christmas Eve the business's $8,000 is lost and George's troubles begin.",2026-05-19T22:48:53.326721
820067,The Quintessential Quintuplets Movie,8.278,440,7.474,2022-05-20,"[16, 35, 10749]","When five lovely young girls who hate studying hire part-time tutor Futaro, he guides not only their education but also their hearts. Time spent has brought them all closer, with feelings growing within the girls and Futaro. As they finish their third year of high school and their last school festival approaches, they set their sights on what’s next. Is there a future with one of them and Futaro?",2026-05-19T22:48:53.326727
372754,Dou kyu sei – Classmates,8.278,439,5.1591,2016-02-20,"[10749, 16]","Rihito Sajo, an honor student with a perfect score on the entrance exam and Hikaru Kusakabe, in a band and popular among girls, would have never crossed paths. Until one day they started talking at the practice for their school’s upcoming chorus festival. After school, the two meet regularly, as Hikaru helps Rihito to improve his singing skills. While they listen to each other’s voice and harmonize, their hearts start to beat together.",2026-05-19T22:48:53.326733
914,The Great Dictator,8.278,3693,8.0328,1940-10-15,"[35, 10752]",Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkel's regime.,2026-05-19T22:48:53.326738
3082,Modern Times,8.277,4074,6.7412,1936-02-05,"[35, 18, 10749]","A bumbling tramp desires to build a home with a young woman, yet is thwarted time and time again by his lack of experience and habit of being in the wrong place at the wrong time..",2026-05-19T22:48:53.326743
599,Sunset Boulevard,8.277,2926,7.1558,1950-08-10,[18],A hack screenwriter writes a screenplay for a former silent film star who has faded into Hollywood obscurity.,2026-05-19T22:48:53.326749
335,Once Upon a Time in the West,8.273,4883,12.7272,1968-12-21,"[18, 37]","As the railroad builders advance unstoppably through the Arizona desert on their way to the sea, Jill arrives in the small town of Flagstone with the intention of starting a new life.",2026-05-19T22:48:53.326754
1139087,Once Upon a Studio,8.27,428,6.1019,2023-09-24,"[16, 10751, 14, 18, 35]","Created for Disney's 100th anniversary, the short features Mickey Mouse corralling a gallery of legendary Disney characters for a group photo.",2026-05-19T22:48:53.326760
77338,The Intouchables,8.268,18396,20.887,2011-11-02,"[18, 35]",A true story of two men who should never have met – a quadriplegic aristocrat who was injured in a paragliding accident and a young man from the projects.,2026-05-19T22:48:53.326765
28,Apocalypse Now,8.267,9070,15.0712,1979-05-19,"[18, 10752]","At the height of the Vietnam war, Captain Benjamin Willard is sent on a dangerous mission that, officially, ""does not exist, nor will it ever exist."" His goal is to locate - and eliminate - a mysterious Green Beret Colonel named Walter Kurtz, who has been leading his personal army on illegal guerrilla missions into enemy territory.",2026-05-19T22:48:53.326770
652837,"Josee, the Tiger and the Fish",8.263,596,7.7132,2020-12-25,"[16, 18, 10749]","With dreams of diving abroad, Tsuneo gets a job assisting Josee, an artist whose imagination takes her far beyond her wheelchair. But when the tide turns against them, they push each other to places they never thought possible, and inspire a love fit for a storybook.",2026-05-19T22:48:53.326786
654299,Out of the Clear Blue Sky,8.257,382,3.625,2019-12-24,"[35, 18, 10402]","Returning to Earth as an imitator, the legendary Mexican artist Pedro Infante must prove that he is no longer a womanizer to enter paradise.",2026-05-19T22:48:53.326792
18491,Neon Genesis Evangelion: The End of Evangelion,8.255,1846,10.7676,1997-07-19,"[16, 878, 18, 14]","SEELE orders an all-out attack on NERV, aiming to destroy the Evas before Gendo can advance his own plans for the Human Instrumentality Project. Shinji is pushed to the limits of his sanity as he is forced to decide the fate of humanity.",2026-05-19T22:48:53.326797
8587,The Lion King,8.254,19652,20.7926,1994-06-15,"[16, 10751, 18]","Young lion prince Simba, eager to one day become king of the Pride Lands, grows up under the watchful eye of his father Mufasa; all the while his villainous uncle Scar conspires to take the throne for himself. Amid betrayal and tragedy, Simba must confront his past and find his rightful place in the Circle of Life.",2026-05-19T22:48:54.158664
572154,Rascal Does Not Dream of a Dreaming Girl,8.253,590,6.5162,2019-06-15,"[16, 10749, 18, 14]","In Fujisawa, Sakuta Azusagawa is in his second year of high school. Blissful days with his girlfriend and upperclassman, Mai Sakurajima, are interrupted by the appearance of his first crush, Shoko Makinohara.",2026-05-19T22:48:54.158689
975,Paths of Glory,8.253,3268,6.6839,1957-10-25,"[10752, 18]",A commanding officer defends three scapegoats on trial for a failed offensive that occurred within the French Army in 1916.,2026-05-19T22:48:54.158698
637920,Miracle in Cell No. 7,8.252,4548,8.5403,2019-10-10,[18],"Separated from his daughter, a father with an intellectual disability must prove his innocence when he is jailed for the death of a commander's child.",2026-05-19T22:48:54.158706
29259,Le Trou,8.3,568,5.6645,1960-03-18,"[18, 53, 80]","Four prison inmates have been hatching a plan to literally dig out of jail when another prisoner, Claude Gaspard, is moved into their cell. They take a risk and share their plan with the newcomer. Over the course of three days, the prisoners and friends break through the concrete floor using a bed post and begin to make their way through the sewer system – yet their escape is anything but assured.",2026-05-19T22:48:54.158712
15804,A Brighter Summer Day,8.251,386,7.6116,1991-07-27,"[80, 18, 10749]","A boy experiences first love, friendships and injustices growing up in 1960s Taiwan.",2026-05-19T22:48:54.158718
92321,Hotarubi no Mori e,8.25,1213,0.0093,2011-09-17,"[10749, 16, 14]","One hot summer day a little girl gets lost in an enchanted forest of the mountain god where spirits reside. A young boy appears before her, but she cannot touch him for fear of making him disappear. And so a wondrous adventure awaits...",2026-05-19T22:48:54.158725
901,City Lights,8.2,2449,5.8097,1931-02-06,"[35, 18, 10749]",A tramp falls in love with a beautiful blind flower girl. His on-and-off friendship with a wealthy man allows him to be the girl's benefactor and suitor.,2026-05-19T22:48:54.158731
603,The Matrix,8.245,27849,38.7647,1999-03-31,"[28, 878]","Set in the 22nd century, The Matrix tells the story of a computer hacker who joins a group of underground insurgents fighting the vast and powerful computers who now rule the earth.",2026-05-19T22:48:54.158736
92060,Michael Jackson's Thriller,8.2,759,8.6949,1983-11-21,"[27, 53, 10402]","A night at the movies turns terrifying when Michael and his date are attacked by zombies. Released at the height of Thriller’s success, the short film redefined the music video, broke racial barriers, and became the first inducted into the U.S. National Film Registry.",2026-05-19T22:48:54.158741
630566,Clouds,8.242,1050,5.3182,2020-10-09,"[10402, 18, 10749]","Young musician Zach Sobiech discovers his cancer has spread, leaving him just a few months to live. With limited time, he follows his dream and makes an album, unaware that it will soon be a viral music phenomenon.",2026-05-19T22:48:54.158751
10376,The Legend of 1900,8.241,2439,7.2685,1998-10-28,"[18, 10402]","Musician Max Tooney goes to sell his prized Conn trumpet to a music shop, where he plays the instrument one last time. The shopkeeper recognises the song as one on a record matrix he found and asks who the piece is by. Tooney tells the story of an infant found abandoned in the first class dining room of the four-stacker ocean-liner SS Virginian on 1 January 1900. Danny Boodman, a coal-man from the boiler room, names the boy Danny Boodman T. D. Lemon 1900, after himself, the fruit crate the boy was found in, and the year, and raises him as his own.",2026-05-19T22:48:54.158757
670,Oldboy,8.239,9820,15.8038,2003-11-21,"[18, 53, 9648, 28]","With no clue how he came to be imprisoned, drugged and tortured for 15 years, a desperate man seeks revenge on his captors.",2026-05-19T22:48:54.158763
