tmdb_id,title,release_date,popularity,vote_average,vote_count,genre_ids,overview,fetched_at
1397364,La Grazia,2025-12-05,6.4748,7.389,361,[18],"As his tenure as President of Italy nears its end, Mariano De Santis faces wrenching decisions-both political and deeply personal. Amid these moral quandaries, he must confront his own conscience and seek guidance from those closest to him, including his confidante and daughter, Dorotea.",2026-05-21T22:17:56.906475
1375831,Diabolic,2025-11-20,6.2444,6.32,50,[27],"A woman's hope for a miracle cure turns into a nightmare when she confronts the vengeful spirit of a cursed witch, determined to claim her as a vessel for her evil power.",2026-05-21T22:17:56.906482
1461254,Salmokji: Whispering Water,2026-04-08,6.0545,6.0,3,"[27, 53]","An incident unfolds when a film crew goes to a reservoir to update the road view where an unidentified figure was filmed, and they encounter something in the dark, deep waters.",2026-05-21T22:17:56.906495
1461254,Salmokji: Whispering Water,2026-04-08,6.0545,6.0,3,"[27, 53]","An incident unfolds when a film crew goes to a reservoir to update the road view where an unidentified figure was filmed, and they encounter something in the dark, deep waters.",2026-05-21T22:17:57.751205
539745,Animal Farm,2026-04-30,5.9432,5.3,6,"[16, 10751, 35]","A group of farm animals rise up against their neglectful owner, dreaming of equality and freedom. But as the pigs take control, the revolution turns into tyranny, with truth rewritten and dissent crushed.",2026-05-21T22:17:57.751229
1243006,H Is for Hawk,2025-11-26,5.8022,7.0,21,[18],"After losing her beloved father, Helen finds herself saved by an unlikely friendship with a stubborn hawk named Mabel. Through the bond, Helen rediscovers the beauty of being alive.",2026-05-21T22:17:57.751237
1390382,Couture,2026-02-18,5.7638,5.5,26,[18],"In the frenzy of Fashion Week, three women cross paths in Paris, grappling with the world's tragedies and the questions of their lives: Maxine, an American film director in her forties, discovers she has cancer; Ada, a young South Sudanese model, escapes a predetermined destiny to be thrust into a deceptive universe and French makeup artist Angèle, a small hand working in the shadows of the catwalks, dreams of escaping her life.",2026-05-21T22:17:57.751244
434853,Space/Time,2025-06-25,5.7538,6.0,56,"[878, 28, 53]","After a fatal test shuts down their project, a disgraced team of scientists enters the criminal underworld to rebuild a forbidden space-bending engine that could rescue humanity or annihilate it entirely.",2026-05-21T22:17:57.751251
1232569,Pinocchio: Unstrung,2026-06-04,5.7252,0.0,0,"[27, 14, 9648]","A chilling reimagining of the familiar fable, ‘Pinocchio Unstrung’ unfolds inside an elite London prep school. Influenced by a sinister Cricket (Robert Englund) and created by Geppetto (Richard Brake), Pinocchio launches a violent crusade to carve himself into a real boy like his brother James, one piece at a time.",2026-05-21T22:17:57.751258
1127384,Deep Water,2026-04-30,5.6846,6.3,3,"[53, 27]",A group of international passengers on a flight from Los Angeles to Shanghai is forced to make an emergency landing in shark-infested waters. The terrified group is forced to work together and overcome their differences if they hope to escape their sinking plane and the frenzy of sharks drawn to the wreckage.,2026-05-21T22:17:57.751264
